Title,Number,Barcode,Author,Summary,Status
Witches & warlocks :,808.83 KAY,GRAY12877,,"Narnia… the land beyond the wardrobe door, a secret place frozen in eternal winter, a magical country waiting to be set free.Lucy is the first to find the secret of the wardrobe in the professor's mysterious old house. At first her brothers and sister don't believe her when she tells of her visit to the land of Narnia. But soon Edmund, then Peter and Susan step through the wardrobe themselves. In Narnia they find a country buried under the evil enchantment of the White Witch. When they meet the Lion Aslan, they realize they've been called to a great adventure and bravely join the battle to free Narnia from the Witch's sinister spell.",Available
Poems Worth Knowing,808.9 LEW,GRAY21739,"Lewis,Claude ","Excerpt from Poems Worth Knowing: An Anthology of British, American and Canadian Poems of the Last Hundred Years. Ecker, james elroy (1884-1915) The Old Ships A Ship, an Isle, a Sickle Moon To a Poet a Thousand Years Hence Brumana The Gates of Damascus.This book is a reproduction of an important historical work. Forgotten Books uses state-of-the-art technology to digitally reconstruct the work, preserving the original format whilst repairing imperfections present in the aged copy. In rare cases, an imperfection in the original, such as a blemish or missing page, may be replicated in our edition. We do, however, repair the vast majority of imperfections successfully; any imperfections that remain are intentionally left to preserve the state of such historical works.",Available
Five Plays,809 ANO,GRAY383106,"Anouilh, Jean","Jean Anouilh was born in Bordeaux on June 23, 1910. After completing his early schooling, Anouilh studied law for a short time at the Sorbonne, and then worked as a copywriter at Publicité Damour. He also wrote comic scenes for the cinema. In 1929 he collaborated with Jean Aurenche on his first play, Humulus Le Muet. It was followed in the same year by Mandarine. In 1931 Anouilh married the actress Monelle Valentin and became secretary to Louis Jouvet's Comédie des Champs-Élysées. At the age of twenty-five Anouilh decided to devote himself entirely to writing. During the next years Anouilh completed several plays and gained comparative success with the production of Y Avait Un Prisonnier (1935) before his breakthrough work Le Voyageur Sans Bagage (1937). ",Available
Four ways of dealing with bullies :,811.54 LEM,GRAY382311,"Lemm, Richard.","""Richard Lemm's poetry arcs from the deeply interior - mapping the core of masculinity from childhood crimes and losses and shames - through a vital engagement with the world..."" - Maureen Hynes",Available
Views and Viewpoints: A Collection of Various Text Forms,812 MAC,GRAY380331,"MacDonald, Tracey",Views and viewpoints: a collection of various text forms,Available
"Quest, A Collection of Various Text Forms",812 MAC,GRAY380936,"MacDonald, Tracey",None,Available
"Beyond the Page, A Collection of Various Text Forms",812 MAC,GRAY380745,"MacDonald, Tracey",None,Available
Atlantica :,813 ATL,GRAY14409,,"ATLANTICA—the forgotten isle, the glittering gem in the cesspool of humanity's future. Anything you do inside your own home is allowed. Those with obscene wealth find it a haven, while every major country of in the world craves the secrets they believe are buried in the mist.Where mystery happens, John Chambers can exist: ex-soldier, gritty realist, detective.It's whispered that John “Dick” Chambers is the man you go to when you need someone who can't be bought. Do ethics matter if one can steal the answers from his cold, dead fingers?John has accepted a job to find a pendant for a woman, a pendant that might uncover clues about Atlantica's past…if he doesn't die finding it.Do those who desire Atlantica's secrets really care?",Available
All my relations :,813 KIN,GRAY17935,"King, Thomas","Contents:An Okanagan Indian becomes a captive circus showpiece in England / Harry Robinson --Coal oil, crayons and schoolbooks / Ruby Slipperjack --Run / Barry Milliken --Weaver spider's web / Peter Blue Cloud/Aroniawenrate --Compatriots / Emma Lee Warrior --The seventh wave / Jordan Wheeler --The Rez sisters : an excerpt from Act I / Tomson Highway --An afternoon in bright sunlgiht / S. Bruised Head --The one about Coyote going west / Thomas King --Turtle gal / Beth Brant --Hookto : the evil entity / Bruce King --This is a story / Jeanette C. Armstrong --Rain / Maurice Kenny --Welcome to the real world / Joan Crate --The last raven / Richard G. Green --Cement woman / J.B. Joe --King of the raft / Daniel David Moses --Song one : the riverside / Jovette Marchessault --Summer holidays in Spanish / Basil H. Johnston.",Available
Mystery Writers of America presents In the shadow of the master :,813 POE,GRAY382582 ,"Poe, Edgar Allan,","Published to commemorate the 200th anniversary of Edgar Allan Poe's birth, a collection of stories by the original master of suspense, with commentary from beloved and bestselling contemporary authorsFew writers have crafted stories as haunting and lasting as those of Edgar Allan Poe. Although written more than 150 years ago, they retain the power to scare, dazzle, and warp our minds. This outstanding collection contains 16 of his best works, from the famous stories, including ""The Cask of Amontillado,"" ""The Raven,"" ""The Tell-Tale Heart,"" and ""The Pit and the Pendulum,"" to an excerpt from his only complete novel, The Narrative of Arthur Gordon Pym.While his work has transformed readers' lives, Poe's tales have also had a profound impact on the writers working in our current golden age of suspense. Accompanying the stories are twenty essays by such shining lights as Michael Connelly, Stephen King, Sue Grafton, Nelson DeMille, Lawrence Block, Lisa Scottoline, and Laura Lippman, who tells us about the ways Poe has influenced their life and work.Horrifying and enticing, powerful and timeless, this anthology of Poe's greatest stories is a must for literature lovers and a wonderful introduction for new generations eager to discover this master's exquisite art.* January 19, 2009 marks the bicentennial of Edgar Allan Poe's birth.Founded in 1945, the MYSTERY WRITERS OF AMERICA is the foremost organization for mystery writers and other professionals dedicated to the field of crime writing. Each year the MWA bestows the Edgar Awards, which honor the outstanding works in the genre for the previous year. MICHAEL CONNELLY is one of the most prolific and bestselling writers of suspense at work to day. He lives with his family in Florida.",Available
More joy in heaven ,813.54 CAL,GRAY36794,"Callaghan, Morley,","Based on a real-life character, More Joy in Heaven is a gripping account of the tragic plight of young Kip Caley, a notorious bank-robber released early from prison and feted by society as a returning prodigal son.Earnest, optimistic, and fired by reformist zeal, Kip eventually comes to realize that the welcome of his supporters is superficial and that their charity is driven by self-interest.More Joy in Heaven was first published in 1937.",Available
Hugh MacLennan's best :,813.9 MAC,GRAY9329,"MacLennan, Hugh,","- Published and Unpublished - Including Poetry, Essays, Journalism, Travel Writing, and Excerpts from All of His Novels",Available
The clockmaker,817 Hal,GRAY5586,"Haliburton, Thomas Chandler,","Sam Slick of Slickville, Connecticut, is a Yankee clock-peddler who accompanies a visiting English gentleman on an unforgettable tour of early nineteenth-century Nova Scotia. His shrewd observations and witty commentaries make up the thirty-three sketches of The Clockmaker.First serialized in 1835 and 1836 and then published together in late 1836 in response to public demand, the sketches of The Clockmaker established Judge Thomas Chandler Haliburton as a satirical humorist of international stature.The New Canadian Library edition is an unabridged reprint of the complete original text.From the Paperback edition.",Available
Sunshine sketches of a little town ,817 Lea,GRAY5602,"Leacock, Stephen,","This book was extremely difficult to put together. It demanded many hours, specially because we could not stop laughing every couple of lines...Stephen Leacock was, in the early part of the 20th century, the best-known humourist in the English-speaking world. His light humour along with criticisms of people's follies were the delight of millions around the world. He was also a serious academic, writing many history books, but were his humour books the ones that became a treasure to posterity. We put together in this volume the 12 amazing books of humour he ever wrote. Also, we added as a Bonus his most popular book: Sunshine Sketches of a Little Town.The complete list of books is as follows:Literary Lapses (1910)Nonsense Novels (1911)Arcadian Adventures with the Idle Rich (1914)Moonbeams from the Larger Lunacy (1915)Further Foolishness (1916)Frenzied Fiction (1918)The Hohenzollerns in America (1919)Winsome Winnie (1920)My Discovery of England (1922)Winnowed Wisdom (1926)Short Circuits (1928)My Remarkable Uncle (1942)Sunshine Sketches of a Little Town (1912)",Available
A map to the door of no return :,818 BRA,GRAY380254,"Brand, Dionne,","A Map to the Door of No Return is a timely book that explores the relevance and nature of identity and belonging in a culturally diverse and rapidly changing world. It is an insightful, sensitive and poetic book of discovery.Drawing on cartography, travels, narratives of childhood in the Caribbean, journeys across the Canadian landscape, African ancestry, histories, politics, philosophies and literature, Dionne Brand sketches the shifting borders of home and nation, the connection to place in Canada and the world beyond.The title, A Map to the Door of No Return, refers to both a place in imagination and a point in history – the Middle Passage. The quest for identity and place has profound meaning and resonance in an age of heterogenous identities.In this exquisitely written and thought-provoking new work, Dionne Brand creates a map of her own art.",Available
Redpatch :,819.2 CAL,GRAY382551,"Calvert, Raes,","Private Jonathan Woodrow is a young Indigenous soldier fighting on the Western Front during World War I. Thanks to his experience in hunting and wilderness survival, he quickly becomes one of the 1st Canadian Division’s most feared trench raiders. But as the war and the fighting stretch on with no end in sight, Woodrow begins to realize that he will never go home again. Shedding overdue light on the Indigenous contribution to Canada’s Great War effort, Redpatch was a finalist for the Playwright Guild of Canada’s 2017 Carol Bolt award.",Available
Vistas:A collection of Various Text Forms,820 MAC,GRAY383476,"MacDonald, Tracey",None,"March 1, 2022"
The Norton anthology of English literature ,820.8 ENG,GRAY380060,"Abrams, M. H.","Firmly grounded by the hallmark strengths of all Norton Anthologies - thorough and helpful introductory matter, judicious annotation, complete texts wherever possible - The Norton Anthology of English Literature has been revitalized in this Eighth Edition through the collaboration between six new editors and six seasoned ones. Under the direction of Stephen Greenblatt, General Editor, the editors have reconsidered all aspects of the anthology to make it an even better teaching tool.",Available
The Illustrated Book of Romantic Verse,820.9 CHA,GRAY382568,"Chapman,E.A.","A delightful collection of verse from the greatest poets of love: from Byron to Donne, Shelley to Shakespeare and the exquisite W.B. Yeats. Accompanied by the gorgeous art of the high Victorians: Waterhouse, Alma Tadema, Millais and William Godward this sumptuous package is the perfect companion to the Flame Tree Notebooks.",Available
The revenger's tragedy ,820.9 GIB,GRAY383598,"Middleton, Thomas,","This scarce antiquarian book is a facsimile reprint of the original. Due to its age, it may contain imperfections such as marks, notations, marginalia and flawed pages. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions that are true to the original work.",Available
Chaucer's Canterbury tales (selected) :,821 CHA,GRAY383162,"Chaucer, Geoffrey,","Begun soon after 1386 and written during several years that followed, Geoffrey Chaucer’s great narrative poem The Canterbury Tales  presents a richly detailed, highly entertaining, and sometimes bawdy picture of English society in the fourteenth century. Rich with humorous insights into the many foibles of humanity, this poem is considered by most literary critics and scholars to be the first great example of literary art written in vernacular English. Its narrative opens as a party of 30 men and women from various walks of life gather at the Tabard Inn in London, from where they set out on a holy pilgrimage to Canterbury and its shrine dedicated to Thomas Ã Becket. As they travel, each person has a story to tell.  The most famous and beloved of Chaucer’s stories are presented in interlinear form this intensely readable volume. Alternating each of Chaucer’s original lines with its translation into modern English, this book encourages readers to savor the genius of Chaucer’s original poetry while following each line with an easy-to-understand modern translation of his Southeast Midlands dialect of Middle English. This scholarly yet truly approachable translation of Chaucer’s original poem is the work of Vincent F. Hopper, a longtime professor of English literature at New York University. He opens with the famous Prologue—  Whan that Aprille with his shoures sote  When April with his showers sweet  The droghte of Marche hath perced to the rote,  The drought of March has pierced to the root  —and then goes on to present The Miller’s Tale The Reeve’s Tale The Prioress’s Tale The Nun’s Priest’s Tale The Pardoner’s Tale The Wife of Bath’s Tale The Franklin’s Tale . . . and more.  This fine volume also includes an enlightening introductory essay on Chaucer’s art, with Professor Hopper’s commentary on England as it existed in the fourteenth century. He concludes with a short list of recommended reading on Chaucer’s time and his art.",Available
No Fear Shakespeare A midsummer night's dream ,822 SHA,GRAY380227,"Shakespeare, William,","Magic, love spells, and an enchanted wood provide the materials for one of Shakespeare’s most delightful comedies. When four young lovers, fleeing the Athenian law and their own mismatched rivalries, take to the forest of Athens, their lives become entangled with a feud between the King and Queen of the Fairies. Some Athenian tradesmen, rehearsing a play for the forthcoming wedding of Duke Theseus and his bride, Hippolyta, unintentionally add to the hilarity. The result is a marvelous mix-up of desire and enchantment, merriment and farce, all touched by Shakespeare’s inimitable vision of the intriguing relationship between art and life, dreams and the waking world.This No Fear Shakespeare ebook gives you the complete text of A Midsummer Night's Dream and an easy-to-understand translation.Each No Fear Shakespeare contains•	The complete text of the original play•	A line-by-line translation that puts Shakespeare into everyday language•	A complete list of characters with descriptions•	Plenty of helpful commentary",Available
Skits and Scenes,822 SIA,GRAY36875,"Siamon, Sharon",None,Available
"Hamlet, Student's Text",822.3 SHA,GRAY35916,"Shakespeare, William","Exam board: AQA, Edexcel, Eduqas, WJECLevel Subject: A Level English LiteratureFirst teaching: September 2015First examination: June 2017This edition of Hamlet is perfect for A-level students, with the complete play in an accessible format, on-page notes, introduction setting the context, timeline, character and theme indexes.• Affordable high quality complete play for Hamlet• Demystify vocabulary with notes on the page and concise commentary• Set the scene with perfectly pitched introductions that introduce key contexts, concerns and stylistic features, and examine different performances and interpretations• Recall plot summaries at the beginning of each scene• Support A Level revision and essay writing with theme and character indexes• Help with social, historical and literary context with the bespoke timeline of Shakespeare’s life and times",Available
Romeo and Juliet ,822.33 APP,GRAY21407,"Appignanesi, Richard","""Now presenting Manga Shakespearethe Bards greatest plays in an accessible, lively format for a new generation of readers"" Romeo and Juliet"" is ideally suited for the manga formatit has teenage heroes, scheming and villainous adults, heartbreaking tragedy, and the ultimate romantic plot about star-crossd lovers. Romeo, a Montague, and Juliet, a Capulet, fall deeply in loveand they refuse to let their parents age-old feud get in their way. When Romeo is banished from their town, a series of mistakes and misunderstandings, along with their families mutual hatred, finally manages to end their love. An exciting introduction to the Bard for reluctant readers and manga fans alike.","October 7, 2022"
Romeo and Juliet,822.33 SHA,GRAY383750,"Bloom, Harold  editor","""Now presenting Manga Shakespearethe Bards greatest plays in an accessible, lively format for a new generation of readers"" Romeo and Juliet"" is ideally suited for the manga formatit has teenage heroes, scheming and villainous adults, heartbreaking tragedy, and the ultimate romantic plot about star-crossd lovers. Romeo, a Montague, and Juliet, a Capulet, fall deeply in loveand they refuse to let their parents age-old feud get in their way. When Romeo is banished from their town, a series of mistakes and misunderstandings, along with their families mutual hatred, finally manages to end their love. An exciting introduction to the Bard for reluctant readers and manga fans alike.","October 7, 2022"
Wuthering Heights ,823,GRAY36139,"Brontë, Emily,","At the centre of this novel is the passionate love between Catherine Earnshaw and Heathcliff - recounted with such emotional intensity that a plain tale of the Yorkshire moors acquires the depth and simplicity of ancient tragedy.

This best-selling Norton Critical Edition is based on the 1847 first edition of the novel. For the Fourth Edition, the editor has collated the 1847 text with several modern editions and has corrected a number of variants, including accidentals. The text is accompanied by entirely new explanatory annotations.

New to the fourth Edition are twelve of Emily Bronte's letters regarding the publication of the 1847 edition of Wuthering Heights as well as the evolution of the 1850 edition, prose and poetry selections by the author, four reviews of the novel, and poetry selections by the author, four reviews of the novel, and Edward Chitham's insightful and informative chronology of the creative process behind the beloved work.

Five major critical interpretations of Wuthering Heights are included, three of them new to the Fourth Edition. A Stuart Daley considers the importance of chronology in the novel. J. Hillis Miller examines Wuthering Heights's problems of genre and critical reputation. Sandra M. Gilbert assesses the role of Victorian Christianity plays in the novel, while Martha Nussbaum traces the novel's romanticism. Finally, Lin Haire-Sargeant scrutinizes the role of Heathcliff in film adaptations of Wuthering Heights.

A Chronology and updated Selected Bibliography are also included.","September 21, 2022"
The Broadview anthology of Victorian short stories ,823 DEN,GRAY383216,"Denisoff,Denis","A ground-breaking contribution to teaching and research with a wide-ranging and original selection of stories by 19th-century writers."" -- Elaine Showalter Princeton University""",Available
The pilgrim's progress ,823 GOO,GRAY380237,"Bunyan, John,"," ""The Pilgrim’s Progress religious allegory by the English writer John Bunyan published in two parts in 1678 and 1684. The work is a symbolic vision of the good man’s pilgrimage through life. At one time second only to the Bible in popularity The Pilgrim’s Progress is the most famous Christian allegory still in print. It was first published in the reign of Charles II and was largely written while its Puritan author was imprisoned for offenses against the Conventicle Act of 1593 (which prohibited the conducting of religious services outside the bailiwick of the Church of England).""",Available
Frankenstein :,823 SHE,GRAY380090,"Shelley, Mary Wollstonecraft,","This is a previously-published edition of ISBN 9780143131847.Mary Shelley's seminal novel of the scientist whose creation becomes a monsterThis edition is the original 1818 text, which preserves the hard-hitting and politically charged aspects of Shelley's original writing, as well as her unflinching wit and strong female voice. This edition also includes a new introduction and suggestions for further reading by author and Shelley expert Charlotte Gordon, literary excerpts and reviews selected by Gordon and a chronology and essay by preeminent Shelley scholar Charles E. Robinson.",Available
Oroonoko ,823.4 BEH,GRAY383215,"Behn, Aphra,","The most complete collection of the work of Aphra Behn (1640-89) available, this volume contains Oroonoko and five other works of fiction ranging from comedy and high melodrama to tragedy. The works included—The Fair Jilt, Memoirs of the Court of the King of Bantam, The History of the Nun, The Adventure of the Black Lady, and The Unfortunate Bride—are complemented by a generous selection of her poetry from public political verse to lyrics and witty conversation poems.",Available
Nineteen eighty-four ,823.912 ORW,GRAY36040,,"The new novel by George Orwell is the major work towards which all his previous writing has pointed. Critics have hailed it as his most solid most brilliant"" work. Though the story of Nineteen Eighty-Four takes place thirty-five years hence it is in every sense timely. The scene is London where there has been no new housing since 1950 and where the city-wide slums are called Victory Mansions. Science has abandoned Man for the State. As every citizen knows only too well war is peace.",Available
Don Quixote ,863 CER,GRAY380246,"Cervantes Saavedra, Miguel de,","Don Quixote has become so entranced by reading chivalric romances that he determines to become a knight-errant himself. In the company of his faithful squire, Sancho Panza, his exploits blossom in all sorts of wonderful ways. While Quixote's fancy often leads him astray—he tilts at windmills, imagining them to be giants—Sancho acquires cunning and a certain sagacity. Sane madman and wise fool, they roam the world together, and together they have haunted readers' imaginations for nearly four hundred years.With its experimental form and literary playfulness, Don Quixote has been generally recognized as the first modern novel. The book has been enormously influential on a host of writers, from Fielding and Sterne to Flaubert, Dickens, Melville, and Faulkner, who reread it once a year, ""just as some people read the Bible.""",Available
The Oedipus Cycle,882 FIT,GRAY381460,Sophocles,"English versions of Sophocles’ three great tragedies based on the myth of Oedipus, translated for a modern audience by two gifted poets.",Available
The Rubaiyat of Omar Khayyam,891.5 FIT,GRAY382566,Omar Khayyam.,"The rubaiyat are a series of poems or 'stanzas' by the famous 12th century Persian atronomer and philosopherThe Rubáiyát of Omar Khayyám (Persian: رباعیات عمر خیام‎) is the title that Edward FitzGerald gave to his translation of a selection of poems, originally written in Persian and numbering about a thousand, attributed to Omar Khayyám (1048–1131), a Persian poet, mathematician and astronomer. A ruba'i is a two-line stanza with two parts (or hemistichs) per line, hence the word rubáiyát (derived from the Arabic language root for ""four""), meaning ""quatrains"". (Courtesy: Wikipedia)(less)",Available
